target,tier,keyword,volume,difficulty,position,traffic,url,mapped_category
omnigent.ai,1,no_data,no_data,no_data,no_data,no_data,no_data,no_data
metaharness.tools,1,no_data,no_data,no_data,no_data,no_data,no_data,no_data
mem0.ai,2,claude pricing,49000,67,5,1869,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude code pricing,14000,0,10,429,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude subscription,14000,49,5,821,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude api pricing,11000,41,13,180,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude teams,6400,22,5,0,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,how much does claude cost,6000,40,1,229,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude enterprise pricing,5800,36,13,91,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude cost,5500,68,9,210,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,anthropic pricing,3700,14,2,72,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude team pricing,3700,39,2,46,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude billing,3000,0,4,0,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude code plans,2700,0,8,104,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,claude mem,2700,18,14,27,https://mem0.ai/blog/claude-code-memory,memory
mem0.ai,2,claude code subscription,2600,57,2,51,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,agentic rag,2600,26,29,1,https://mem0.ai/blog/what-is-agentic-rag,landscape
mem0.ai,2,claude token cost,2400,46,1,75,https://mem0.ai/blog/anthropic-claude-pricing,cost
mem0.ai,2,anthropic billing,2300,19,5,28,https://mem0.ai/blog/anthropic-claude-pricing,cost
